id,first_name,middle_name,last_name,birth_date,marital_status,sex,email,salary,total_children,number_children_at_home,education,occupation,house_owner_flag,number_of_cars_owned,address,phone,date_first_purchase,commute_distance
11000,Jon,V,Yang,06/10/1971,M,M,jon24@adventure-works.com,90000,2,0,Bachelors,Professional,1,0,3761 N. 14th St,1 (11) 500 555-0162,19/01/2011,1-2 Miles
11001,Eugene,L,Huang,10/05/1976,S,M,eugene10@adventure-works.com,60000,3,3,Bachelors,Professional,0,1,2243 W St.,1 (11) 500 555-0110,15/01/2011,0-1 Miles
11002,Ruben,,Torres,09/02/1971,M,M,ruben35@adventure-works.com,60000,3,3,Bachelors,Professional,1,1,5844 Linden Land,1 (11) 500 555-0184,07/01/2011,2-5 Miles
11003,Christy,,Zhu,14/08/1973,S,F,christy12@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,1825 Village Pl.,1 (11) 500 555-0162,29/12/2010,5-10 Miles
11004,Elizabeth,,Johnson,05/08/1979,S,F,elizabeth5@adventure-works.com,80000,5,5,Bachelors,Professional,1,4,7553 Harness Circle,1 (11) 500 555-0131,23/01/2011,1-2 Miles
11005,Julio,,Ruiz,01/08/1976,S,M,julio1@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,7305 Humphrey Drive,1 (11) 500 555-0151,30/12/2010,5-10 Miles
11006,Janet,G,Alvarez,02/12/1976,S,F,janet9@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,2612 Berry Dr,1 (11) 500 555-0184,24/01/2011,5-10 Miles
11007,Marco,,Mehta,06/11/1969,M,M,marco14@adventure-works.com,60000,3,3,Bachelors,Professional,1,2,942 Brook Street,1 (11) 500 555-0126,09/01/2011,0-1 Miles
11008,Rob,,Verhoff,04/07/1975,S,F,rob4@adventure-works.com,60000,4,4,Bachelors,Professional,1,3,624 Peabody Road,1 (11) 500 555-0164,25/01/2011,10+ Miles
11009,Shannon,C,Carlson,29/09/1969,S,M,shannon38@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,3839 Northgate Road,1 (11) 500 555-0110,27/01/2011,5-10 Miles
11010,Jacquelyn,C,Suarez,05/08/1969,S,F,jacquelyn20@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,7800 Corrinne Court,1 (11) 500 555-0169,14/01/2011,5-10 Miles
11011,Curtis,,Lu,03/05/1969,M,M,curtis9@adventure-works.com,60000,4,4,Bachelors,Professional,1,4,1224 Shoenic,1 (11) 500 555-0117,30/12/2010,10+ Miles
11012,Lauren,M,Walker,14/01/1979,M,F,lauren41@adventure-works.com,100000,2,0,Bachelors,Management,1,2,4785 Scott Street,717-555-0164,16/03/2013,1-2 Miles
11013,Ian,M,Jenkins,03/08/1979,M,M,ian47@adventure-works.com,100000,2,0,Bachelors,Management,1,3,7902 Hudson Ave.,817-555-0185,13/04/2013,0-1 Miles
11014,Sydney,,Bennett,06/11/1973,S,F,sydney23@adventure-works.com,100000,3,0,Bachelors,Management,0,3,9011 Tank Drive,431-555-0156,23/03/2013,1-2 Miles
11015,Chloe,,Young,26/08/1984,S,F,chloe23@adventure-works.com,30000,0,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,208-555-0142,18/01/2013,5-10 Miles
11016,Wyatt,L,Hill,25/10/1984,M,M,wyatt32@adventure-works.com,30000,0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,135-555-0171,09/02/2013,5-10 Miles
11017,Shannon,,Wang,24/12/1949,S,F,shannon1@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,7330 Saddlehill Lane,1 (11) 500 555-0195,12/01/2011,5-10 Miles
11018,Clarence,D,Rai,06/10/1955,S,M,clarence32@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,244 Rivewview,1 (11) 500 555-0137,17/01/2011,5-10 Miles
11019,Luke,L,Lal,04/09/1983,S,M,luke18@adventure-works.com,40000,0,0,High School,Skilled Manual,0,2,7832 Landing Dr,262-555-0112,12/02/2013,5-10 Miles
11020,Jordan,C,King,19/03/1984,S,M,jordan73@adventure-works.com,40000,0,0,High School,Skilled Manual,0,2,7156 Rose Dr.,550-555-0163,29/12/2012,1-2 Miles
11021,Destiny,,Wilson,02/03/1984,S,F,destiny7@adventure-works.com,40000,0,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,622-555-0158,23/01/2013,1-2 Miles
11022,Ethan,G,Zhang,10/04/1984,M,M,ethan20@adventure-works.com,40000,0,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,589-555-0185,20/01/2013,5-10 Miles
11023,Seth,M,Edwards,09/04/1984,M,M,seth46@adventure-works.com,40000,0,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,452-555-0188,17/02/2013,1-2 Miles
11024,Russell,,Xie,16/03/1984,M,M,russell7@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,746-555-0186,27/06/2013,5-10 Miles
11025,Alejandro,,Beck,22/06/1951,M,M,alejandro45@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,1 (11) 500 555-0178,06/01/2011,1-2 Miles
11026,Harold,,Sai,01/10/1951,S,M,harold3@adventure-works.com,30000,2,0,Partial College,Clerical,0,2,8211 Leeds Ct.,1 (11) 500 555-0131,23/01/2011,1-2 Miles
11027,Jessie,R,Zhao,05/06/1952,M,M,jessie16@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,213 Valencia Place,1 (11) 500 555-0184,16/01/2011,5-10 Miles
